"year","state_abbreviation","state","number_on_parole_per_100000_us_adult_residents"
2016,"WV","West Virginia","244"
2016,"WI","Wisconsin","453"
2016,"WY","Wyoming","189"
1995,"DC","District of Columbia","1523"
1996,"DC","District of Columbia","1642"
1997,"DC","District of Columbia","1676"
2009,"DC","District of Columbia","1288"
2010,"DC","District of Columbia","1235"
2011,"DC","District of Columbia","1178"
2012,"DC","District of Columbia","1114"
2013,"DC","District of Columbia","1042"
2014,"DC","District of Columbia","965"
2015,"DC","District of Columbia","822"
2016,"DC","District of Columbia","713"
1998,"CT","Connecticut","48"
1998,"ME","Maine","7"
1998,"MA","Massachusetts","96"
1998,"NH","New Hampshire","129"
1998,"NJ","New Jersey","238"
1998,"NY","New York","436"
1998,"PA","Pennsylvania","910"
1998,"RI","Rhode Island","62"
1998,"VT","Vermont","154"
1998,"IL","Illinois","344"
1998,"IN","Indiana","97"
1998,"IA","Iowa","103"
1998,"KS","Kansas","312"
1998,"MI","Michigan","211"
1998,"MN","Minnesota","86"
1998,"MO","Missouri","257"
1998,"NE","Nebraska","51"
1998,"ND","North Dakota","37"
1998,"OH","Ohio","135"
1998,"SD","South Dakota","203"
1998,"WI","Wisconsin","231"
1998,"AL","Alabama","208"
1998,"AR","Arkansas","338"
1998,"DE","Delaware","101"
1998,"DC","District of Columbia","1577"
1998,"FL","Florida","65"
1998,"GA","Georgia","364"
1998,"KY","Kentucky","153"
1998,"LA","Louisiana","590"
1998,"MD","Maryland","404"
1998,"MS","Mississippi","75"
1998,"NC","North Carolina","102"
1998,"OK","Oklahoma","62"
1998,"SC","South Carolina","152"
1998,"TN","Tennessee","186"
1998,"TX","Texas","793"
1998,"VA","Virginia","130"
1998,"WV","West Virginia","69"
1998,"AK","Alaska","117"
1998,"AZ","Arizona","110"
1998,"CA","California","466"
1998,"CO","Colorado","178"
1998,"HI","Hawaii","225"
1998,"ID","Idaho","145"
1998,"MT","Montana","102"
1998,"NV","Nevada","317"
1998,"NM","New Mexico","144"
1998,"OR","Oregon","703"
1998,"UT","Utah","270"
1998,"WA","Washington","9"
1998,"WY","Wyoming","127"
1999,"CT","Connecticut","62"
1999,"ME","Maine","3"
1999,"MA","Massachusetts","91"
1999,"NH","New Hampshire","128"
1999,"NJ","New Jersey","211"
1999,"NY","New York","421"
1999,"PA","Pennsylvania","916"
1999,"RI","Rhode Island","55"
1999,"VT","Vermont","175"
1999,"IL","Illinois","341"
1999,"IN","Indiana","103"
1999,"IA","Iowa","117"
1999,"KS","Kansas","302"
1999,"MI","Michigan","213"
1999,"MN","Minnesota","90"
1999,"MO","Missouri","281"
1999,"NE","Nebraska","50"
1999,"ND","North Dakota","33"
1999,"OH","Ohio","188"
1999,"SD","South Dakota","254"
1998,"WI","Wisconsin","219"
1999,"AL","Alabama","151"
1999,"AR","Arkansas","404"
1999,"DE","Delaware","111"
1999,"DC","District of Columbia","1204"
1999,"FL","Florida","56"
1999,"GA","Georgia","384"
1999,"KY","Kentucky","163"
1999,"LA","Louisiana","688"
1999,"MD","Maryland","389"
1999,"MS","Mississippi","67"
1999,"NC","North Carolina","77"
1999,"OK","Oklahoma","62"
1999,"SC","South Carolina","135"
1999,"TN","Tennessee","177"
1998,"TX","Texas","763"
1999,"VA","Virginia","113"
1999,"WV","West Virginia","83"
1999,"AK","Alaska","117"
1999,"AZ","Arizona","108"
1999,"CA","California","471"
1999,"CO","Colorado","176"
1999,"HI","Hawaii","251"
1999,"ID","Idaho","145"
1999,"MT","Montana","83"
1999,"NV","Nevada","295"
1999,"NM","New Mexico","154"
1999,"OR","Oregon","718"
1999,"UT","Utah","238"
1999,"WA","Washington","5"
1999,"WY","Wyoming","130"
2000,"CT","Connecticut","73"
2000,"ME","Maine","3"
2000,"MA","Massachusetts","76"
2000,"NH","New Hampshire","102"
2000,"NJ","New Jersey","235"
2000,"NY","New York","405"
2000,"PA","Pennsylvania","876"
2000,"RI","Rhode Island","44"
2000,"VT","Vermont","196"
2000,"IL","Illinois","329"
2000,"IN","Indiana","109"
2000,"IA","Iowa","126"
2000,"KS","Kansas","194"
2000,"MI","Michigan","215"
2000,"MN","Minnesota","85"
2000,"MO","Missouri","297"
2000,"NE","Nebraska","38"
2000,"ND","North Dakota","24"
2000,"OH","Ohio","216"
2000,"SD","South Dakota","268"
2000,"WI","Wisconsin","236"
2000,"AL","Alabama","165"
2000,"AR","Arkansas","474"
2000,"DE","Delaware","98"
2000,"DC","District of Columbia","1244"
2000,"FL","Florida","49"
2000,"GA","Georgia","358"
2000,"KY","Kentucky","161"
2000,"LA","Louisiana","704"
2000,"MD","Maryland","359"
2000,"MS","Mississippi","77"
2000,"NC","North Carolina","55"
2000,"OK","Oklahoma","71"
2000,"SC","South Carolina","141"
2000,"TN","Tennessee","189"
2000,"TX","Texas","747"
2000,"VA","Virginia","96"
2000,"WV","West Virginia","79"
2000,"AK","Alaska","116"
2000,"AZ","Arizona","92"
2000,"CA","California","478"
2000,"CO","Colorado","172"
2000,"HI","Hawaii","273"
2000,"ID","Idaho","156"
2000,"MT","Montana","92"
2000,"NV","Nevada","273"
2000,"NM","New Mexico","127"
2000,"OR","Oregon","693"
2000,"UT","Utah","216"
2000,"WA","Washington","4"
2000,"WY","Wyoming","141"
2001,"CT","Connecticut","82"
2001,"ME","Maine","3"
2001,"MA","Massachusetts","76"
2001,"NH","New Hampshire","100"
2001,"NJ","New Jersey","186"
2001,"NY","New York","396"
2001,"PA","Pennsylvania","921"
2001,"RI","Rhode Island","46"
2001,"VT","Vermont","193"
2001,"IL","Illinois","326"
2001,"IN","Indiana","118"
2001,"IA","Iowa","141"
2001,"KS","Kansas","201"
2001,"MI","Michigan","223"
2001,"MN","Minnesota","86"
2001,"MO","Missouri","306"
2001,"NE","Nebraska","42"
2001,"ND","North Dakota","25"
2001,"OH","Ohio","211"
2001,"SD","South Dakota","277"
2001,"WI","Wisconsin","240"
2001,"AL","Alabama","169"
2001,"AR","Arkansas","512"
2001,"DE","Delaware","88"
2001,"DC","District of Columbia","974"
2001,"FL","Florida","46"
2001,"GA","Georgia","335"
2001,"KY","Kentucky","169"
2001,"LA","Louisiana","719"
