"year","state_abbreviation","state","number_on_parole_per_100000_us_adult_residents"
2005,"KY","Kentucky","298"
2005,"LA","Louisiana","712"
2005,"MD","Maryland","339"
2005,"MS","Mississippi","90"
2005,"NC","North Carolina","47"
2005,"OK","Oklahoma","148"
2005,"SC","South Carolina","97"
2005,"TN","Tennessee","190"
2005,"TX","Texas","611"
2005,"VA","Virginia","78"
2005,"WV","West Virginia","99"
2005,"AK","Alaska","202"
2005,"AZ","Arizona","138"
2005,"CA","California","421"
2005,"CO","Colorado","234"
2005,"HI","Hawaii","213"
2005,"ID","Idaho","233"
2005,"MT","Montana","114"
2005,"NV","Nevada","217"
2005,"NM","New Mexico","197"
2005,"OR","Oregon","766"
2005,"UT","Utah","188"
2005,"WA","Washington","239"
2005,"WY","Wyoming","153"
2006,"CT","Connecticut","95"
2006,"ME","Maine","3"
2006,"MA","Massachusetts","65"
2006,"NH","New Hampshire","159"
2006,"NJ","New Jersey","217"
2006,"NY","New York","358"
2006,"PA","Pennsylvania","791"
2006,"RI","Rhode Island","44"
2006,"VT","Vermont","197"
2006,"IL","Illinois",NA
2006,"IN","Indiana","167"
2006,"IA","Iowa","157"
2006,"KS","Kansas","235"
2006,"MI","Michigan","243"
2006,"MN","Minnesota","113"
2006,"MO","Missouri","429"
2006,"NE","Nebraska","60"
2006,"ND","North Dakota","75"
2006,"OH","Ohio","202"
2006,"SD","South Dakota","469"
2006,"WI","Wisconsin","381"
2006,"AL","Alabama","247"
2006,"AR","Arkansas","863"
2006,"DE","Delaware","83"
2006,"DC","District of Columbia","1158"
2006,"FL","Florida","34"
2006,"GA","Georgia","329"
2006,"KY","Kentucky","369"
2006,"LA","Louisiana","769"
2006,"MD","Maryland","336"
2006,"MS","Mississippi","88"
2006,"NC","North Carolina","48"
2006,"OK","Oklahoma","114"
2006,"SC","South Carolina","83"
2006,"TN","Tennessee","210"
2006,"TX","Texas","583"
2006,"VA","Virginia","68"
2006,"WV","West Virginia","107"
2006,"AK","Alaska","212"
2006,"AZ","Arizona","140"
2006,"CA","California","439"
2006,"CO","Colorado","264"
2006,"HI","Hawaii","233"
2006,"ID","Idaho","252"
2006,"MT","Montana","116"
2006,"NV","Nevada","202"
2006,"NM","New Mexico","200"
2006,"OR","Oregon","782"
2006,"UT","Utah","190"
2006,"WA","Washington","257"
2006,"WY","Wyoming","170"
2007,"CT","Connecticut","81"
2007,"ME","Maine","3"
2007,"MA","Massachusetts","64"
2007,"NH","New Hampshire","162"
2007,"NJ","New Jersey","226"
2007,"NY","New York","360"
2007,"PA","Pennsylvania","807"
2007,"RI","Rhode Island","56"
2007,"VT","Vermont","190"
2007,"IL","Illinois","362"
2007,"IN","Indiana","217"
2007,"IA","Iowa","155"
2007,"KS","Kansas","232"
2007,"MI","Michigan","277"
2007,"MN","Minnesota","120"
2007,"MO","Missouri","443"
2007,"NE","Nebraska","60"
2007,"ND","North Dakota","69"
2007,"OH","Ohio","201"
2007,"SD","South Dakota","466"
2007,"WI","Wisconsin","395"
2007,"AL","Alabama","221"
2007,"AR","Arkansas","904"
2007,"DE","Delaware","81"
2007,"DC","District of Columbia","1169"
2007,"FL","Florida","33"
2007,"GA","Georgia","326"
2007,"KY","Kentucky","392"
2007,"LA","Louisiana","746"
2007,"MD","Maryland","324"
2007,"MS","Mississippi","93"
2007,"NC","North Carolina","48"
2007,"OK","Oklahoma",NA
2007,"SC","South Carolina","72"
2007,"TN","Tennessee","222"
2007,"TX","Texas","582"
2007,"VA","Virginia","116"
2007,"WV","West Virginia","128"
2007,"AK","Alaska","305"
2007,"AZ","Arizona","144"
2007,"CA","California","453"
2007,"CO","Colorado","299"
2007,"HI","Hawaii","210"
2007,"ID","Idaho","282"
2007,"MT","Montana","130"
2007,"NV","Nevada","189"
2007,"NM","New Mexico","238"
2007,"OR","Oregon","779"
2007,"UT","Utah","194"
2007,"WA","Washington","262"
2007,"WY","Wyoming","176"
2008,"CT","Connecticut","86"
2008,"ME","Maine","3"
2008,"MA","Massachusetts","63"
2008,"NH","New Hampshire","162"
2008,"NJ","New Jersey","238"
2008,"NY","New York","345"
2008,"PA","Pennsylvania","751"
2008,"RI","Rhode Island","63"
2008,"VT","Vermont","219"
2008,"IL","Illinois","345"
2008,"IN","Indiana","221"
2008,"IA","Iowa","137"
2008,"KS","Kansas","235"
2008,"MI","Michigan","296"
2008,"MN","Minnesota","127"
2008,"MO","Missouri","459"
2008,"NE","Nebraska","63"
2008,"ND","North Dakota","77"
2008,"OH","Ohio","218"
2008,"SD","South Dakota","446"
2008,"WI","Wisconsin","418"
2008,"AL","Alabama","226"
2008,"AR","Arkansas","920"
2008,"DE","Delaware","82"
2008,"DC","District of Columbia","1274"
2008,"FL","Florida","31"
2008,"GA","Georgia","326"
2008,"KY","Kentucky","375"
2008,"LA","Louisiana","742"
2008,"MD","Maryland","307"
2008,"MS","Mississippi","134"
2008,"NC","North Carolina","48"
2008,"OK","Oklahoma","112"
2008,"SC","South Carolina","57"
2008,"TN","Tennessee","222"
2008,"TX","Texas","579"
2008,"VA","Virginia","75"
2008,"WV","West Virginia","140"
2008,"AK","Alaska","339"
2008,"AZ","Arizona","156"
2008,"CA","California","438"
2008,"CO","Colorado","309"
2008,"HI","Hawaii","188"
2008,"ID","Idaho","300"
2008,"MT","Montana","118"
2008,"NV","Nevada","200"
2008,"NM","New Mexico","249"
2008,"OR","Oregon","754"
2008,"UT","Utah","189"
2008,"WA","Washington","233"
2008,"WY","Wyoming","178"
